truth,pred
9,17.972481847309183
12,18.400010370038917
9,19.350286667782882
11,16.728842484155535
31,27.946487323294228
3,10.45648961881801
4,12.433035094343866
33,21.867384315235658
16,26.26726555478833
17,19.18115606210206
12,11.17465677609684
17,16.927761465620524
28,18.51738067712992
12,23.038986944237436
27,14.360476122296356
24,22.545110415481755
11,9.797371478308818
12,16.964696543129175
8,12.874926884369774
10,6.1304954250507375
7,15.89563958314387
36,30.79923884373064
18,20.255186064225466
22,19.74601985318352
23,25.238692257666937
20,27.69776481629824
32,32.33045938560517
32,20.97258454367896
31,28.17183587379367
35,33.99600429085877
11,15.222017228798302
16,24.729793375592877
29,28.936814807181555
9,9.55382878607781
4,11.291090072051148
6,17.677294623765185
8,12.726719229550607
23,24.633743778481755
15,11.283760061930598
1,6.481655166173768
29,25.56664446745499
27,22.7134315660576
27,12.06959438766396
12,23.533316316373813
14,9.225591733551338
7,14.471742412845536
8,12.771033757633305
29,23.692974814299735
28,29.528133804750436
52,31.856167077820288
37,30.027237259622673
10,13.891551187232613
21,18.65230422398284
35,37.56403889161436
28,25.39732131654979
16,29.779073944002526
49,39.15873607676278
44,31.833111126729428
8,12.263170932722579
12,15.30155674365548
19,15.38778544632612
9,9.507267517533792
11,20.43966326175446
32,23.6929162430877
20,22.21451048398986
23,17.19473404363238
3,14.082648869584697
32,25.35151910099952
37,30.572705757643377
10,9.70689401938255
35,22.612146067167895
19,21.175852082013016
25,31.55420905213184
27,19.997171138442006
18,13.797159387432076
16,14.795554163889237
20,19.050516048452806
30,24.826898104570617
28,18.959579958162717
1,11.903959137825654
0,3.4627236301638087
36,24.097593915719283
14,20.35371348441001
34,30.5330578063512
24,22.90549586701731
17,19.68003622643073
21,10.271512433180467
