bin,mean_pred,obs_rate,n
1,0.009108801682790121,0,6
2,0.030445605516433716,0,6
3,0.04954719543457031,0,5
4,0.12546371221542357,0.4,5
5,0.23324421644210816,0,5
6,0.3760258197784424,0.2,5
7,0.57255317568779,0.6,5
8,0.759120550751686,0.8,5
9,0.874493533372879,1,5
10,0.9620863999705762,1,5
