term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),5362.1512513109765,4.3835189349483725,1.9589559561243222,0.0501179450358836,5.6001256500895575,390447489.38074297
bdi_pre,1.204011528538252,0.11440176589904198,1.6228676242857358,0.1046177058289311,0.9801072757868284,1.5609075228470217
mom_mean_pre,0.8007383883349944,0.08311117917416821,-2.6737797946399535,0.007500168187860957,0.6443225155318663,0.9069288899842243
hdrs_pre,0.7527531303238244,0.1807854685222845,-1.5710220264563368,0.11617753257470755,0.4900264609863173,1.0289375607447921
