bin,mean_pred,obs_rate,n
1,0.3459739164023388,0,6
2,0.3648886841516928,0.16666666666666666,6
3,0.37666398826878683,0.2,5
4,0.38212114828833227,0.4,5
5,0.3849532699192447,0.2,5
6,0.3881077902601721,0.4,5
7,0.392079193154547,0.2,5
8,0.397963628760069,0.8,5
9,0.40414958403701684,0.6,5
10,0.4209046006578094,1,5
