truth,pred
9,13.128354761904747
12,14.972370634920658
9,14.682803968253971
11,12.201068650793657
31,27.91229007936511
3,8.24239404761904
4,6.830823809523808
33,27.081693253968265
16,20.813192460317467
17,18.32232460317463
12,11.28361746031745
17,17.772984920634947
28,21.786259523809527
12,17.010477380952384
27,20.213956746031762
24,23.423991269841288
11,10.538405952380936
12,13.227413095238097
8,12.525154761904764
10,10.271773412698419
7,12.37734365079364
36,32.48047777777777
18,19.51843968253968
22,22.079938492063516
23,24.996105952380983
20,24.180624603174586
32,32.68509126984128
32,25.66049007936506
31,27.473051587301594
35,32.709836111111095
11,13.862259920634928
16,22.478538888888874
29,28.252976190476208
9,11.140804761904755
4,7.040772619047628
6,12.666025396825392
8,10.4315111111111
23,23.691167460317466
15,13.744711904761907
1,7.1906861111111136
29,28.760288095238103
27,26.920515476190474
27,20.60020436507934
12,18.211696428571415
14,12.660799603174603
7,9.41864365079365
8,12.00493531746029
29,26.250645634920662
28,28.880756746031754
52,39.87329801587305
37,31.998511507936524
10,13.256533730158722
21,21.635957142857148
35,33.98678253968257
28,25.87113571428571
16,22.236551190476213
49,40.37745119047618
44,38.502668650793694
8,11.054828968253972
12,13.662613888888895
19,16.137411904761912
9,10.425298809523799
11,15.397590873015865
32,27.597707539682567
20,21.20702222222221
23,18.82185396825398
3,7.3243523809523765
32,28.825306746031742
37,33.47950992063497
10,9.45852222222223
35,27.6816253968254
19,21.928511904761898
25,26.503719047619075
27,23.71818134920634
18,14.515632142857143
16,16.819126587301593
20,20.151575396825397
30,27.15587460317459
28,22.530651587301588
1,6.956817063492062
0,5.090624206349204
36,28.056478571428585
14,18.197159523809535
34,29.79288015873017
24,23.86019563492063
17,16.3611531746032
21,16.219166269841278
