term,estimate,std.error,statistic,p.value
(Intercept),-3.633381483063086,2.143153181617891,-1.6953438112716726,0.0936706156157949
pred,1.1818781294743892,0.10028626004881505,11.785045417977514,1.4477214915166003e-19
