bin,mean_pred,mean_obs,n
1,7.505959567901234,3.6666666666666665,9
2,11.03913827160493,9.555555555555555,9
3,13.02766119929453,10.333333333333334,9
4,15.44083505291006,14.88888888888889,9
5,18.691163183421526,17.77777777777778,9
6,21.640686243386245,20.555555555555557,9
7,24.214727072310406,25.444444444444443,9
8,27.08310406746033,30.25,8
9,29.059936011904774,32,8
10,35.51188943452382,40,8
