bin,mean_pred,obs_rate,n
1,0.043859126984126987,0,6
2,0.08358412698412698,0,6
3,0.11747333333333332,0,5
4,0.15818190476190475,0,5
5,0.20883952380952386,0,5
6,0.3247619047619048,0,5
7,0.6507047619047615,1,5
8,0.746348095238095,1,5
9,0.8028619047619044,1,5
10,0.8703361904761907,1,5
