bin,mean_pred,mean_obs,n
1,8.237482243269232,9.444444444444445,9
2,11.733608367889252,9.11111111111111,9
3,14.029678890453544,12,9
4,16.67231030897083,12.88888888888889,9
5,19.059698898585154,19.333333333333332,9
6,21.09124175435902,22,9
7,23.435622834715836,25.555555555555557,9
8,25.634487374240162,24.25,8
9,29.436918322079958,30.375,8
10,33.63649559315666,38.5,8
