term,estimate,std.error,statistic,p.value
(Intercept),-6.150015425215447,0.8892815202385349,-6.915712612093646,8.126696711801597e-10
pred,1.3083959240770398,0.04107764172804633,31.851777975455544,5.034004994050373e-49
