bin,mean_pred,mean_obs,n
1,3.22191249326958,3.2222222222222223,9
2,8.333193143208822,8.333333333333334,9
3,10.888976203070747,10.88888888888889,9
4,13.666489071316189,13.666666666666666,9
5,17.44567320081923,17.444444444444443,9
6,21.444528367784287,21.444444444444443,9
7,26.331996070014107,26.333333333333332,9
8,29.375452041625977,29.375,8
9,33.12470841407776,33.125,8
10,40.75047492980957,40.75,8
